release,total_commits,total_churn,churn_concentration,developer_churn_inequality,refactoring_ratio,file_hotspots,avg_commit_size,churn_volatility,unique_developers,avg_files_per_commit
0.6,0,0,0.0,0.0,0.0,0,0.0,0.0,,
0.7.1,108,36697,0.7752170174370898,0.642857142857143,0.3055555555555556,11,339.787037037037,808.0145021548449,7.0,9.962962962962964
0.7.2,238,180057,0.8973185802087043,0.7137605042016806,0.42857142857142855,24,756.5420168067227,7356.580127134292,16.0,10.802521008403362
0.7,732,423293,0.9043218994441693,0.8117030965391623,0.39617486338797814,74,578.2691256830601,5903.481175561829,36.0,9.443989071038251
0.8.0,929,427015,0.8806996706440395,0.8312447955805593,0.3961248654467169,93,459.6501614639397,4129.903492635566,53.0,8.389666307857912
0.8.1.1,294,46728,0.801277359086076,0.662678864649308,0.3877551020408163,30,158.9387755102041,662.1234889657658,58.0,4.802721088435374
0.8.1,882,192964,0.839360023495036,0.7764518236673201,0.39909297052154197,89,218.78004535147392,1207.4587580703974,118.0,5.776643990929705
0.8.2.1,677,170109,0.8386938419091492,0.689209150065871,0.36484490398818314,68,251.26883308714918,1248.9936799507313,111.0,6.460856720827179
0.8.2.2,1257,297174,0.8358125641126257,0.7530921809931423,0.36992840095465396,126,236.41527446300717,2204.305003744425,179.0,6.105807478122514
0.8.2.0,2540,607311,0.832267564477498,0.7777728451599337,0.37480314960629924,254,239.09881889763778,1776.5290636660748,337.0,6.197244094488189
0.9.0.0,2347,552052,0.8290520176663672,0.7722284033642628,0.37111205794631447,235,235.2160204516404,1782.0041801344066,319.0,6.213037920749893
0.10.1.1,388,114210,0.7986387437863152,0.6284066550984995,0.3427835051546392,39,294.3556701030928,1900.3581835354723,101.0,8.04896907216495
0.10.2.1,654,185216,0.794515328429166,0.7079662094649832,0.3241590214067278,66,283.20489296636083,2387.607287076389,101.0,8.180428134556575
0.9.0.1,2745,643106,0.7991938497341657,0.7927273285442378,0.3610200364298725,275,234.28269581056466,1698.1260979026397,356.0,6.80728597449909
0.10.0.0,3002,752736,0.804122507793767,0.8004447485460144,0.3587608261159227,301,250.744836775483,2030.1900017038045,370.0,6.960692871419054
0.11.0.2,568,159795,0.7768707287373919,0.683039412948278,0.36795774647887325,57,281.3292253521127,1621.4821944030512,119.0,7.52112676056338
0.10.0.1,2296,604352,0.796436810736969,0.7782648703977502,0.35365853658536583,229,263.219512195122,1813.1801794539801,337.0,7.206010452961673
0.10.2.0,2085,560642,0.7893728547258048,0.7785094400049992,0.3462829736211031,209,268.89304556354915,1865.8060567155064,307.0,7.364028776978417
