developer1,developer2,shared_files
Ismael Juma,Jason Gustafson,965
Ismael Juma,Mickael Maison,892
Mickael Maison,gongxuanzhang,886
Ismael Juma,gongxuanzhang,798
Matthias J. Sax,gongxuanzhang,773
Guozhang Wang,Matthias J. Sax,772
Sanskar Jhajharia,gongxuanzhang,701
Jason Gustafson,Mickael Maison,647
John Roesler,Matthias J. Sax,636
Chia-Ping Tsai,Ismael Juma,610
Ismael Juma,Matthias J. Sax,610
Mickael Maison,Sanskar Jhajharia,578
Ismael Juma,Rajini Sivaram,578
Colin Patrick McCabe,Ismael Juma,568
Colin Patrick McCabe,Mickael Maison,503
Guozhang Wang,John Roesler,482
Ismael Juma,Sanskar Jhajharia,463
Jason Gustafson,Rajini Sivaram,460
David Jacot,Ismael Juma,454
Chia-Ping Tsai,Jason Gustafson,447
Chia-Ping Tsai,Mickael Maison,444
Damian Guy,Matthias J. Sax,444
Colin Patrick McCabe,Jason Gustafson,440
Damian Guy,Guozhang Wang,437
Ismael Juma,Justine Olshan,427
Guozhang Wang,Ismael Juma,422
A. Sophie Blee-Goldman,Matthias J. Sax,411
Guozhang Wang,gongxuanzhang,405
Ismael Juma,PoAn Yang,404
Colin Patrick McCabe,gongxuanzhang,404
David Jacot,Mickael Maison,403
Jason Gustafson,gongxuanzhang,403
Jason Gustafson,Matthias J. Sax,397
Mickael Maison,PoAn Yang,389
David Jacot,Jason Gustafson,383
Ken Huang,Mickael Maison,375
John Roesler,gongxuanzhang,373
Jason Gustafson,Justine Olshan,368
Matthias J. Sax,Mickael Maison,363
Ismael Juma,Ken Huang,361
Mickael Maison,Rajini Sivaram,359
Chia-Ping Tsai,gongxuanzhang,357
Colin P. Mccabe,Ismael Juma,350
Ken Huang,gongxuanzhang,349
Colin Patrick McCabe,David Arthur,346
PoAn Yang,gongxuanzhang,341
Ismael Juma,Vahid Hashemian,339
Chia-Ping Tsai,Colin Patrick McCabe,337
A. Sophie Blee-Goldman,Guozhang Wang,336
Justine Olshan,Mickael Maison,329
Colin Patrick McCabe,Sanskar Jhajharia,326
David Arthur,Ismael Juma,326
A. Sophie Blee-Goldman,John Roesler,325
Chia-Ping Tsai,Matthias J. Sax,319
Ismael Juma,TengYao Chi,319
Chia-Ping Tsai,PoAn Yang,319
Mickael Maison,TengYao Chi,317
Ismael Juma,Jun Rao,311
Damian Guy,John Roesler,302
A. Sophie Blee-Goldman,gongxuanzhang,299
PoAn Yang,Sanskar Jhajharia,297
Colin Patrick McCabe,David Jacot,295
Ismael Juma,Manikumar Reddy,294
Bruno Cadonna,Matthias J. Sax,294
Chia-Ping Tsai,David Jacot,291
Colin Patrick McCabe,PoAn Yang,289
Guozhang Wang,Jason Gustafson,281
Ken Huang,PoAn Yang,277
Chia-Ping Tsai,Rajini Sivaram,276
Chia-Ping Tsai,Justine Olshan,273
David Arthur,Jason Gustafson,273
