release,start_date,end_date,duration_days,weighted_velocity,velocity_change_pct,is_degraded,issue_count,bugs,improvements,new_features,tasks,velocity_per_day,prev_weighted_velocity,total_commits,total_churn,churn_concentration,developer_churn_inequality,refactoring_ratio,file_hotspots,avg_commit_size,churn_volatility,unique_developers,avg_files_per_commit,num_nodes,num_edges,density,avg_clustering,diameter,num_components,giant_component_size,avg_degree,max_betweenness,degree_centralization,avg_closeness,network_jaccard,nodes_added,nodes_removed,density_change,centralization_change,turnover_rate,commits_per_day,churn_per_developer,edges_per_node,num_issues,earliest_issue_created,velocity_change
0.6,2011-07-19 21:32:10+00:00,2011-07-19 21:32:27+00:00,0.00019675925925925926,46.25,0.0,0,38,20,17,1,0,235058.82352941178,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,38,2011-07-19 21:32:10+00:00,0.0
0.7.1,2011-11-23 23:46:49+00:00,2012-07-16 18:05:58+00:00,235.7632986111111,54.45,17.729729729729733,0,46,19,22,0,3,0.2309519773466296,46.25,108,36697,0.7752170174370898,0.642857142857143,0.3055555555555556,11,339.787037037037,808.0145021548449,7.0,9.962962962962964,6,9,0.6,0.6777777777777777,2,1,1.0,3.0,0.5,0.2407407407407407,0.740410052910053,0.0,6,0,0.0,0.0,0.0,0.458086566637943,5242.428571428572,1.5,46,2011-11-09 16:45:25+00:00,8.200000000000003
0.7.2,2012-08-24 14:33:33+00:00,2013-02-14 18:02:55+00:00,174.14539351851852,16.5,-69.6969696969697,1,13,4,2,3,3,0.09474841491139069,54.45,238,180057,0.8973185802087043,0.7137605042016806,0.42857142857142855,24,756.5420168067227,7356.580127134292,16.0,10.802521008403362,15,25,0.23809523809523808,0.5262962962962964,3,4,0.8,3.3333333333333335,0.25824175824175827,0.4826666666666666,0.0,0.3076923076923077,9,0,-0.3619047619047619,0.24192592592592588,0.6,1.366674105994605,11253.5625,1.6666666666666667,13,2012-01-05 14:46:29+00:00,-37.95
0.7,2011-07-19 21:32:09+00:00,2013-11-26 03:54:52+00:00,860.265775462963,86.9,426.6666666666667,0,75,33,27,6,8,0.10101529373667535,16.5,732,423293,0.9043218994441693,0.8117030965391623,0.39617486338797814,74,578.2691256830601,5903.481175561829,36.0,9.443989071038251,33,49,0.0928030303030303,0.3774891774891775,3,12,0.6363636363636364,2.9696969696969697,0.15762768817204298,0.6233766233766234,0.0,0.37037037037037035,18,0,-0.14529220779220778,0.14070995670995678,0.5454545454545454,0.8508998275632491,11758.138888888889,1.4848484848484849,75,2011-07-19 21:32:09+00:00,70.4
0.8.0,2011-08-10 18:33:46+00:00,2014-06-20 20:24:52+00:00,1045.0771527777779,450.15000000000003,418.0092059838895,0,340,234,50,9,17,0.4307337489902227,86.9,929,427015,0.8806996706440395,0.8312447955805593,0.3961248654467169,93,459.6501614639397,4129.903492635566,53.0,8.389666307857912,44,65,0.06871035940803383,0.3332821590174531,3,18,0.5909090909090909,2.9545454545454546,0.10878552971576227,0.6765734265734267,0.0,0.6764705882352942,12,1,-0.024092670894996476,0.05319680319680331,0.2727272727272727,0.8889295852758344,8056.88679245283,1.4772727272727273,340,2011-07-19 21:32:12+00:00,363.25
0.8.1.1,2014-03-19 00:44:11+00:00,2015-02-02 15:57:29+00:00,320.63423611111114,28.5,-93.66877707430857,1,18,16,1,0,1,0.08888632837737184,450.15000000000003,294,46728,0.801277359086076,0.662678864649308,0.3877551020408163,30,158.9387755102041,662.1234889657658,58.0,4.802721088435374,53,68,0.04934687953555878,0.17472873038910774,6,20,0.6226415094339622,2.5660377358490565,0.09437441643323996,0.6600998890122087,0.0,0.09917355371900827,40,31,-0.019363479872475046,-0.016473537561217944,0.7547169811320755,0.9169326506297305,805.6551724137931,1.2830188679245282,18,2013-03-13 22:15:51+00:00,-421.65000000000003
0.8.1,2012-12-06 05:13:41+00:00,2015-05-13 07:00:49+00:00,888.0743981481481,121.8,327.36842105263156,0,107,67,20,7,5,0.1371506714459765,28.5,882,192964,0.839360023495036,0.7764518236673201,0.39909297052154197,89,218.78004535147392,1207.4587580703974,118.0,5.776643990929705,107,139,0.024510668312466937,0.2202475384052885,6,46,0.5607476635514018,2.5981308411214954,0.07149133053894957,0.7262152894506826,0.0,0.39864864864864863,54,0,-0.024836211223091844,0.06611540043847386,0.5046728971962616,0.9931600346087954,1635.2881355932204,1.2990654205607477,107,2011-08-24 03:29:34+00:00,93.3
0.8.2.1,2014-03-07 02:42:59+00:00,2015-10-12 20:09:56+00:00,584.7270486111111,10.5,-91.37931034482759,1,7,5,1,0,0,0.01795709643489285,121.8,677,170109,0.8386938419091492,0.689209150065871,0.36484490398818314,68,251.26883308714918,1248.9936799507313,111.0,6.460856720827179,105,224,0.041025641025641026,0.2938118166492299,5,32,0.6952380952380952,4.266666666666667,0.08876057782938378,0.6750850340136054,0.0,0.38022813688212925,25,27,0.01651497271317409,-0.051130255437077166,0.23809523809523808,1.1578051701354724,1532.5135135135135,2.1333333333333333,7,2013-10-23 06:14:08+00:00,-111.3
0.8.2.2,2015-05-28 17:16:42+00:00,2016-07-15 17:13:26+00:00,413.9977314814815,5.0,-52.38095238095239,1,5,5,0,0,0,0.012077360864050181,10.5,1257,297174,0.8358125641126257,0.7530921809931423,0.36992840095465396,126,236.41527446300717,2204.305003744425,179.0,6.105807478122514,154,366,0.03106697224344283,0.2995583891272842,6,49,0.6883116883116883,4.753246753246753,0.16594928360947692,0.7096196153573202,0.0,0.1752988047808765,101,52,-0.009958668782198195,0.03453458134371479,0.6558441558441559,3.0362485212222157,1660.1899441340781,2.3766233766233764,5,2015-05-12 17:27:55+00:00,-5.5
0.8.2.0,2013-05-31 05:18:20+00:00,2017-01-26 03:10:54+00:00,1335.9115046296297,288.55,5671.0,0,240,160,47,7,3,0.21599484621550444,5.0,2540,607311,0.832267564477498,0.7777728451599337,0.37480314960629924,254,239.09881889763778,1776.5290636660748,337.0,6.197244094488189,291,625,0.01481218153809693,0.28321687005692764,6,100,0.6563573883161512,4.29553264604811,0.12248616538769769,0.7483106529209622,0.0,0.44040697674418605,137,0,-0.016254790705345898,0.038691037563642006,0.47079037800687284,1.9013235466552807,1802.1097922848664,2.147766323024055,240,2011-10-31 22:15:53+00:00,283.55
