release,num_issues,total_commits,total_churn,total_developers,avg_resolution_time,avg_development_duration,release_start,release_end,release_duration_days,issues_per_day,commits_per_day
0.7,64,72,72712,64,20.400667317708333,0.1631761791087963,2011-07-19 21:32:09+00:00,2012-09-18 05:06:08+00:00,426.3152662037037,0.15012364105539505,0.16888909618731943
0.8.0,164,204,86717,173,45.584860758243,1.6453392474028905,2011-07-19 21:32:19+00:00,2013-11-25 02:35:50+00:00,859.2107754629629,0.19087283898602522,0.2374271899582265
0.6,1,2,106,2,0.0,196.54508101851852,2011-07-19 21:32:25+00:00,2011-07-19 21:32:25+00:00,0.0,inf,inf
0.7.1,37,42,5813,37,16.78914226726727,0.2655686936936937,2011-11-09 16:45:25+00:00,2012-06-20 15:05:24+00:00,223.9305439814815,0.16522980448375016,0.18755815644101367
0.9.0.0,372,436,190462,397,52.41273219708283,12.474094982078855,2012-04-06 19:53:57+00:00,2017-01-26 03:21:53+00:00,1755.311064814815,0.21192824876270347,0.24838902274338362
0.8.1,35,38,8448,37,67.47636011904761,0.44444047619047616,2012-04-09 16:54:33+00:00,2014-03-04 20:31:54+00:00,694.1509375,0.0504213105669111,0.05474313718693205
0.8.2.0,78,102,26180,87,90.92645818494778,5.513330514007597,2012-07-16 20:28:37+00:00,2017-01-26 03:10:54+00:00,1654.279363425926,0.04715044007951963,0.0616582677962949
0.7.2,8,18,53489,8,6.047808159722222,2.5210185185185185,2012-07-31 15:59:19+00:00,2012-09-29 01:12:31+00:00,59.384166666666665,0.13471604383884594,0.3031110986374034
0.10.1.0,210,225,60051,216,59.142965621123516,16.455511078042328,2013-01-22 20:32:00+00:00,2016-10-17 21:41:28+00:00,1364.0482407407408,0.15395349939087224,0.16495017791879169
0.10.0.0,380,403,124775,389,40.81184429824562,7.246261634990254,2013-01-22 23:16:57+00:00,2017-12-12 17:03:00+00:00,1784.7403125,0.21291612978008528,0.2258031586878273
3.9.1,61,66,7846,63,167.14989317698846,4.379849916514876,2013-03-14 04:59:25+00:00,2025-06-25 00:02:47+00:00,4485.79400462963,0.013598484446018709,0.014713114318643195
4.1.0,449,525,190554,468,114.55775341808959,7.066304209972779,2013-03-14 04:59:25+00:00,2025-11-28 21:03:11+00:00,4642.669282407407,0.09671160547691991,0.11308149860887072
4.0.1,47,56,7580,49,145.19454713356976,6.619844858156028,2013-03-14 04:59:25+00:00,2025-09-08 20:40:28+00:00,4561.653506944444,0.010303281458894113,0.012276250248895114
3.8.2,27,31,4184,28,189.97935785322358,1.0272235082304528,2013-03-14 04:59:25+00:00,2025-06-25 00:02:47+00:00,4485.79400462963,0.0060190013121722155,0.006910705210271803
1.1.0,203,229,96528,216,89.66953926062762,14.558894761448641,2013-09-06 01:32:28+00:00,2020-05-15 02:26:00+00:00,2443.037175925926,0.08309329141627235,0.09373578194249443
0.8.2.1,2,2,500,2,13.187876157407409,0.0,2014-02-26 00:31:06+00:00,2015-02-22 00:00:12+00:00,360.9785416666667,0.005540495539612523,0.005540495539612523
0.8.1.1,9,12,1370,10,10.7666512345679,3.043244598765432,2014-03-18 16:01:38+00:00,2014-04-18 23:23:25+00:00,31.30679398148148,0.2874775361962537,0.38330338159500493
0.9.0.1,66,67,6214,67,49.550209736251404,0.0006605990460157126,2014-03-25 19:54:14+00:00,2017-11-06 17:47:08+00:00,1321.9117361111112,0.049927690478157975,0.05068417063691794
0.8.1.2,1,2,560,2,61.87232638888889,8.263194444444444,2014-04-10 01:00:37+00:00,2014-06-10 21:56:46+00:00,61.87232638888889,0.016162314533231796,0.03232462906646359
0.11.0.0,381,430,159504,406,51.92971684529017,23.391270809030814,2014-05-13 16:23:17+00:00,2017-12-12 02:56:45+00:00,1308.4399074074074,0.29118647164693096,0.3286356504151714
1.0.0,258,290,119317,271,67.08446970104795,6.818108042635659,2014-08-14 01:43:31+00:00,2019-04-13 23:02:35+00:00,1703.8882407407407,0.15141838169376545,0.1701989561674108
2.4.0,211,251,122563,227,133.68109492934877,15.70813509303142,2014-10-18 13:44:09+00:00,2024-09-03 03:10:50+00:00,3607.5601967592593,0.05848828252111922,0.06957610859147358
2.1.2,83,89,14982,87,92.8831993250781,9.006425005577867,2014-10-18 13:44:09+00:00,2020-10-06 01:20:20+00:00,2179.483460648148,0.0380824179208577,0.04083536379465465
2.0.2,82,91,15018,88,115.01040043473351,10.759181204832881,2014-10-18 13:44:09+00:00,2020-10-06 01:20:20+00:00,2179.483460648148,0.037623593608558215,0.041753012419253624
2.3.2,72,83,14578,81,94.71889580118312,12.995937178497943,2014-10-18 13:44:09+00:00,2021-02-03 23:33:30+00:00,2300.4092708333333,0.03129877840125279,0.036080536212555296
1.1.2,61,68,10520,64,110.45864507437766,9.884114867941712,2014-10-18 13:44:09+00:00,2020-06-05 21:42:37+00:00,2057.3322685185185,0.029650047750393763,0.03305251224634059
1.0.3,34,40,6093,37,152.04142156862744,15.283023897058824,2014-10-18 13:44:09+00:00,2020-06-05 21:42:37+00:00,2057.3322685185185,0.016526256123170296,0.01944265426255329
2.2.3,27,28,3371,28,160.8944199608262,3.381792695473251,2014-10-18 13:44:09+00:00,2020-10-06 01:20:20+00:00,2179.483460648148,0.01238825643208624,0.01284708074438573
0.10.2.0,207,241,84952,221,64.68103481211794,10.619404857756308,2015-03-03 20:06:56+00:00,2017-12-02 17:46:50+00:00,1004.9027083333333,0.20599009066590818,0.23982421183808633
