release,num_issues,start_date,end_date,earliest_issue_created,duration_days,issue_count,weighted_velocity,bugs,improvements,new_features,tasks,prev_weighted_velocity,velocity_change,velocity_change_pct,is_degraded,velocity_per_day
0.6,38,2011-07-19 21:32:10+00:00,2011-07-19 21:32:27+00:00,2011-07-19 21:32:10+00:00,0.00019675925925925926,38,46.25,20,17,1,0,,,,0,235058.82352941178
0.7.1,46,2011-11-23 23:46:49+00:00,2012-07-16 18:05:58+00:00,2011-11-09 16:45:25+00:00,235.7632986111111,46,54.45,19,22,0,3,46.25,8.200000000000003,17.729729729729733,0,0.2309519773466296
0.7.2,13,2012-08-24 14:33:33+00:00,2013-02-14 18:02:55+00:00,2012-01-05 14:46:29+00:00,174.14539351851852,13,16.5,4,2,3,3,54.45,-37.95,-69.6969696969697,1,0.09474841491139069
0.7,75,2011-07-19 21:32:09+00:00,2013-11-26 03:54:52+00:00,2011-07-19 21:32:09+00:00,860.265775462963,75,86.9,33,27,6,8,16.5,70.4,426.6666666666667,0,0.10101529373667535
0.8.0,340,2011-08-10 18:33:46+00:00,2014-06-20 20:24:52+00:00,2011-07-19 21:32:12+00:00,1045.0771527777779,340,450.15000000000003,234,50,9,17,86.9,363.25,418.0092059838895,0,0.4307337489902227
0.8.1.1,18,2014-03-19 00:44:11+00:00,2015-02-02 15:57:29+00:00,2013-03-13 22:15:51+00:00,320.63423611111114,18,28.5,16,1,0,1,450.15000000000003,-421.65000000000003,-93.66877707430857,1,0.08888632837737184
0.8.1,107,2012-12-06 05:13:41+00:00,2015-05-13 07:00:49+00:00,2011-08-24 03:29:34+00:00,888.0743981481481,107,121.8,67,20,7,5,28.5,93.3,327.36842105263156,0,0.1371506714459765
0.8.2.1,7,2014-03-07 02:42:59+00:00,2015-10-12 20:09:56+00:00,2013-10-23 06:14:08+00:00,584.7270486111111,7,10.5,5,1,0,0,121.8,-111.3,-91.37931034482759,1,0.01795709643489285
0.8.2.2,5,2015-05-28 17:16:42+00:00,2016-07-15 17:13:26+00:00,2015-05-12 17:27:55+00:00,413.9977314814815,5,5.0,5,0,0,0,10.5,-5.5,-52.38095238095239,1,0.012077360864050181
0.8.2.0,240,2013-05-31 05:18:20+00:00,2017-01-26 03:10:54+00:00,2011-10-31 22:15:53+00:00,1335.9115046296297,240,288.55,160,47,7,3,5.0,283.55,5671.0,0,0.21599484621550444
