model,variant,n_features,cv_f1_mean,cv_f1_std,val_f1,val_precision,val_recall,val_mcc,val_roc_auc,val_tn,val_fp,val_fn,val_tp,test_f1,test_precision,test_recall,test_mcc,test_roc_auc,test_tn,test_fp,test_fn,test_tp
logistic_regression,A_churn,12,0.3323076923076923,0.196078435497802,0.42857142857142855,0.375,0.5,0.0,0.6,5,5,3,3,0.6666666666666666,0.5454545454545454,0.8571428571428571,0.32277655457716287,0.6507936507936507,4,5,1,6
random_forest,A_churn,12,0.4022222222222222,0.0954262691270395,0.5882352941176471,0.45454545454545453,0.8333333333333334,0.24370871833797697,0.475,4,6,1,5,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.49206349206349204,0.6746031746031746,7,2,2,5
svm,A_churn,12,0.498021978021978,0.057553050140591575,0.36363636363636365,0.4,0.3333333333333333,0.034815531191139566,0.5666666666666667,7,3,4,2,0.4,0.6666666666666666,0.2857142857142857,0.2219167619785609,0.3650793650793651,8,1,5,2
xgboost,A_churn,12,0.5354066985645932,0.14487767134428878,0.4444444444444444,0.3333333333333333,0.6666666666666666,-0.14907119849998599,0.3583333333333333,2,8,2,4,0.5,0.4444444444444444,0.5714285714285714,0.015873015873015872,0.7619047619047619,4,5,3,4
logistic_regression,B_network,18,0.46971182412358886,0.16288172690184308,0.42857142857142855,0.375,0.5,0.0,0.55,5,5,3,3,0.625,0.5555555555555556,0.7142857142857143,0.2698412698412698,0.6349206349206349,5,4,2,5
random_forest,B_network,18,0.4967565767565768,0.09805019504878858,0.42857142857142855,0.375,0.5,0.0,0.575,5,5,3,3,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.015873015873015872,0.380952380952381,5,4,4,3
svm,B_network,18,0.5048951048951049,0.10378338617772943,0.36363636363636365,0.4,0.3333333333333333,0.034815531191139566,0.6,7,3,4,2,0.4444444444444444,1.0,0.2857142857142857,0.42857142857142855,0.5555555555555556,9,0,5,2
xgboost,B_network,18,0.5148498560263266,0.091800797862646,0.5454545454545454,0.6,0.5,0.3133397807202561,0.5833333333333333,8,2,3,3,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.015873015873015872,0.5238095238095238,5,4,4,3
logistic_regression,C_combined,40,0.6671861471861471,0.10527739796505022,0.5454545454545454,0.6,0.5,0.3133397807202561,0.8833333333333334,8,2,3,3,0.7272727272727273,1.0,0.5714285714285714,0.6546536707079771,0.9523809523809523,9,0,3,4
random_forest,C_combined,40,0.8016666666666665,0.16536155673083283,0.8,1.0,0.6666666666666666,0.7453559924999299,1.0,10,0,2,4,0.9230769230769231,1.0,0.8571428571428571,0.8783100656536799,1.0,9,0,1,6
svm,C_combined,40,0.6133333333333333,0.11661903789690602,0.5454545454545454,0.6,0.5,0.3133397807202561,0.8166666666666667,8,2,3,3,0.2222222222222222,0.5,0.14285714285714285,0.047619047619047616,0.6825396825396826,8,1,6,1
xgboost,C_combined,40,0.9333333333333332,0.13333333333333336,1.0,1.0,1.0,1.0,1.0,10,0,0,6,1.0,1.0,1.0,1.0,1.0,9,0,0,7
