feature,mean_abs_shap,type
velocity_per_day,0.047743424007394446,velocity/context
weighted_velocity,0.04743017859082497,velocity/context
improvements,0.04218051084036739,velocity/context
nodes_removed,0.0339082543928139,network_change
num_issues,0.031486415041936035,velocity/context
issue_count,0.030537905842688954,velocity/context
centralization_change,0.02721459765370808,network_change
bugs,0.024128858121469844,velocity/context
density_change,0.017035348254190716,network_change
new_features,0.013924083159738334,velocity/context
tasks,0.013437386325705564,velocity/context
network_jaccard,0.012285013086227033,network_change
avg_clustering,0.011753693226942545,network_static
nodes_added,0.010545307376674156,network_change
giant_component_size,0.01024310730260341,network_static
degree_centralization,0.00967274652066867,network_static
max_betweenness,0.009607431837878056,network_static
density,0.006917670107361163,network_static
duration_days,0.006757682115966669,velocity/context
developer_churn_inequality,0.006047174733544367,churn
churn_volatility,0.005318212338982745,churn
commits_per_day,0.005108846107164328,churn
edges_per_node,0.004982207346076679,network_change
refactoring_ratio,0.004824877667985088,churn
avg_degree,0.004808449885783206,network_static
unique_developers,0.004708564092253371,churn
num_edges,0.004628414678399302,network_static
num_nodes,0.004554450123305804,network_static
total_commits,0.004476856548226478,churn
churn_per_developer,0.004398033107030336,churn
turnover_rate,0.004384920225689244,network_change
avg_files_per_commit,0.004257966562750017,churn
total_churn,0.004231569864525767,churn
avg_commit_size,0.003944809615850276,churn
file_hotspots,0.0036563089001491462,churn
diameter,0.0034506675782455115,network_static
num_components,0.002838466154825908,network_static
churn_concentration,0.002410637975909536,churn
avg_closeness,0.0,network_static
